"광고 이름",연령,성,도달,노출,빈도,통화,"지출 금액 (KRW)","CPC(링크 클릭당 비용)","페이지 참여","동영상 3초 이상 재생","링크 클릭","CTR(링크 클릭률)","동영상 3초 이상 재생당 비용","랜딩 페이지 조회","제품 맞춤 주문","콘텐츠 조회","웹사이트 등록 완료",조회,"동영상 25% 재생","동영상 50% 재생","동영상 75% 재생","동영상 95% 재생","동영상 100% 재생","웹사이트 구매","보고 시작","보고 종료"
02_memory_ad1,45-54,male,68,83,1.22058824,KRW,1659,414.75,25,19,4,4.81927711,87.31578947,4,,,,,17,10,7,7,6,,2026-06-01,2026-06-21
02_memory_ad1,55-64,male,74,87,1.17567568,KRW,1582,791,24,22,2,2.29885057,71.90909091,1,,,,,13,8,5,5,5,,2026-06-01,2026-06-21
01_edu_ad1,18-24,female,176,202,1.14772727,KRW,1542,771,18,15,2,0.99009901,102.8,2,,1,,,13,6,4,2,2,,2026-06-01,2026-06-21
01_edu_ad1,45-54,male,86,99,1.15116279,KRW,1526,763,34,32,2,2.02020202,47.6875,2,,,,,26,12,8,8,8,,2026-06-01,2026-06-21
02_memory_ad1,18-24,female,144,195,1.35416667,KRW,1505,,13,13,,,115.76923077,,,,,,17,5,3,2,2,,2026-06-01,2026-06-21
01_edu_ad1,65+,male,81,87,1.07407407,KRW,1188,1188,26,25,1,1.14942529,47.52,1,,,,,12,5,3,3,3,,2026-06-01,2026-06-21
03_100books_ad1,18-24,male,159,184,1.1572327,KRW,1168,1168,14,11,1,0.54347826,106.18181818,1,,,,,2,,,,,,2026-06-01,2026-06-21
01_edu_ad1,18-24,male,126,155,1.23015873,KRW,903,301,22,19,3,1.93548387,47.52631579,2,,,,,15,7,3,2,2,,2026-06-01,2026-06-21
02_memory_ad1,65+,male,59,62,1.05084746,KRW,826,206.5,27,23,4,6.4516129,35.91304348,3,,,,,13,8,3,2,2,,2026-06-01,2026-06-21
01_edu_ad1,55-64,male,79,80,1.01265823,KRW,783,783,18,17,1,1.25,46.05882353,1,,,,,8,3,2,2,2,,2026-06-01,2026-06-21
02_memory_ad1,55-64,female,39,44,1.12820513,KRW,742,247.33333333,21,16,3,6.81818182,46.375,2,,1,,,10,6,4,3,3,,2026-06-01,2026-06-21
01_edu_ad1,55-64,female,55,57,1.03636364,KRW,689,,13,13,,,53,,,,,,4,1,1,1,1,,2026-06-01,2026-06-21
02_memory_ad1,18-24,male,65,83,1.27692308,KRW,532,,5,5,,,106.4,,,,,,4,2,1,1,1,,2026-06-01,2026-06-21
03_100books_ad1,65+,male,20,25,1.25,KRW,462,462,5,4,1,4,115.5,1,,,,,1,,,,,,2026-06-01,2026-06-21
01_edu_ad1,65+,female,34,34,1,KRW,447,,6,6,,,74.5,,,,,,3,2,1,1,,,2026-06-01,2026-06-21
03_100books_ad1,55-64,male,32,36,1.125,KRW,360,,5,5,,,72,,,,,,3,1,,,,,2026-06-01,2026-06-21
03_100books_ad1,65+,female,23,24,1.04347826,KRW,353,353,4,2,1,4.16666667,176.5,1,,3,,,,,,,,,2026-06-01,2026-06-21
02_memory_ad1,65+,female,22,24,1.09090909,KRW,276,,3,3,,,92,,,,,,2,,,,,,2026-06-01,2026-06-21
02_memory_ad1,25-34,unknown,5,7,1.4,KRW,94,,1,1,,,94,,,,,,1,1,,,,,2026-06-01,2026-06-21
01_edu_ad1,25-34,unknown,7,8,1.14285714,KRW,84,,,,,,,,,,,,,,,,,,2026-06-01,2026-06-21
03_100books_ad1,25-34,unknown,9,10,1.11111111,KRW,84,84,2,1,1,10,84,1,,2,,,,,,,,,2026-06-01,2026-06-21
02_memory_ad1,35-44,unknown,4,4,1,KRW,60,,,,,,,,,,,,,,,,,,2026-06-01,2026-06-21
03_100books_ad1,35-44,unknown,5,5,1,KRW,53,,,,,,,,,,,,,,,,,,2026-06-01,2026-06-21
03_100books_ad1,18-24,unknown,5,7,1.4,KRW,28,,1,1,,,28,,,,,,,,,,,,2026-06-01,2026-06-21
01_edu_ad1,35-44,unknown,2,2,1,KRW,21,,,,,,,,,,,,,,,,,,2026-06-01,2026-06-21
01_edu_ad1,18-24,unknown,5,6,1.2,KRW,18,,1,1,,,18,,,,,,1,,,,,,2026-06-01,2026-06-21
01_edu_ad1,Unknown,male,1,1,1,KRW,12,,,,,,,,,,,,,,,,,,2026-06-01,2026-06-21
03_100books_ad1,45-54,unknown,1,1,1,KRW,10,,,,,,,,,,,,,,,,,,2026-06-01,2026-06-21
01_edu_ad1,Unknown,female,1,1,1,KRW,7,,,,,,,,,,,,,,,,,,2026-06-01,2026-06-21
02_memory_ad1,18-24,unknown,1,1,1,KRW,2,,,,,,,,,,,,,,,,,,2026-06-01,2026-06-21
03_100books_ad1,Unknown,unknown,0,0,0,KRW,0,,,,,,,1,,,,,,,,,,,2026-06-01,2026-06-21
